category,rank,name,country,points,movement,profile
Women's Singles,47,Yvonne Li,Germany,33141,,https://m.aiscore.com/badminton/player-yvonne-li/g6763zc52jzbp7r
Women's Singles,48,Zhang Wenyu,Canada,32509,,https://m.aiscore.com/badminton/player-zhang-wenyu-/527r3dcrp0gc87e
Women's Singles,49,Hsu Wen-chi,Chinese Taipei,32472,,https://m.aiscore.com/badminton/player-hsu-wen-chi/zrkn68c438xfnql
Women's Singles,50,Rachel Chan,Canada,32347,,https://m.aiscore.com/badminton/player-rachel-chan/vrqwnzc2vjpidqn
Women's Singles,51,Park Ga Eun,South Korea,32213,,https://m.aiscore.com/badminton/player-park-ga-eun/l6keg3c8ymzfg75
Women's Singles,52,Julie Dawall Jakobsen,Denmark,31769,,https://m.aiscore.com/badminton/player-julie-dawall-jakobsen/g6763zc52xvip7r
Women's Singles,53,Ashmita Chaliha,India,31730,,https://m.aiscore.com/badminton/player-ashmita-chaliha/o17pj3coj25h27j
Women's Singles,54,Tanya Hemanth,India,31630,,https://m.aiscore.com/badminton/player-tanya-hemanth/g6763zcpv8zip7r
Women's Singles,55,Shriyanshi Valishetty,India,31370,,https://m.aiscore.com/badminton/player-shriyanshi-valishetty/l6keg3c28d1hg75
Women's Singles,56,Huang Ching Ping,Chinese Taipei,30902,,https://m.aiscore.com/badminton/player-huang-ching-ping/zrkn68c4on5bnql
Women's Singles,57,Thalita Ramadhani Wiryawan,Indonesia,30601,,https://m.aiscore.com/badminton/player-thalita-ramadhani-wiryawan/ek33vc693n5cdko
Women's Singles,58,Anupama Upadhyaya,India,30560,,https://m.aiscore.com/badminton/player-anupama-upadhyaya/xvkjozc19x3ux79
Women's Singles,59,Tasnim Mir,India,30210,,https://m.aiscore.com/badminton/player-tasnim-mir/69759ncx82yhnk2
Women's Singles,60,Goh Jin Wei,Malaysia,30004,,https://m.aiscore.com/badminton/player-goh-jin-wei/g6763zc5pl0ip7r
Women's Singles,61,Pai Yu-po,Chinese Taipei,29940,,https://m.aiscore.com/badminton/player-pai-yu-po/edq09gclllra4qx
Women's Singles,62,Kim Min Ji,South Korea,29811,,https://m.aiscore.com/badminton/player-kim-min-ji/jr7owrcpz5wf3q0
Women's Singles,63,Juliana Viana Vieira,Brazil,29594,,https://m.aiscore.com/badminton/player-juliana-viana-vieira/wv78x6cyol6ankr
Women's Singles,64,Gregoria Mariska Tunjung,Indonesia,29180,,https://m.aiscore.com/badminton/player-gregoria-mariska-tunjung/g6763zc551mfp7r
Women's Singles,65,Ishika Jaiswal,USA,28750,,https://m.aiscore.com/badminton/player-ishika-jaiswal/l6keg3c454mfg75
Women's Singles,66,Manami Suizu,Japan,28100,,https://m.aiscore.com/badminton/player-manami-suizu/edq09gcj5dxi4qx
Women's Singles,67,Ella Lin,USA,27860,,https://m.aiscore.com/badminton/player-ella-lin/v78x6cp2jodunkr
Women's Singles,68,Chen Su Yu,Chinese Taipei,26400,,https://m.aiscore.com/badminton/player-chen-su-yu/vrqwnzc44x4cdqn
Women's Singles,69,Lo Sin Yan Happy,"Hong Kong, China",26386,,https://m.aiscore.com/badminton/player-lo-sin-yan-happy/o17pj3cdr6of27j
Women's Singles,70,Aakarshi Kashyap,India,26120,,https://m.aiscore.com/badminton/player-aakarshi-kashyap/o17pj3co196u27j
Women's Singles,71,Tonrug Saeheng,Thailand,26060,,https://m.aiscore.com/badminton/player-tonrug-saeheng/17pj3c0z3wru27j
Women's Singles,72,Anna Tatranova,France,25624,,https://m.aiscore.com/badminton/player-anna-tatranova/o17pj3c43plc27j
Women's Singles,73,Mutiara Ayu Puspitasari,Indonesia,25430,,https://m.aiscore.com/badminton/player-mutiara-ayu-puspitasari/ndqml6c95d0bgkv
Women's Singles,74,Ni Kadek Dhinda Amartya Pratiwi,Indonesia,24862,,https://m.aiscore.com/badminton/player-ni-kadek-dhinda-amartya-pratiwi/lk2d9cgoro1a373
