category,rank,name,country,points,movement,profile
Women's Doubles,88,Ho Lo Ee/Yap Amanda Hwa Leng,,16900,,
Women's Doubles,89,Elsa Jacob/Flavie Vallet,,16782,,
Women's Doubles,90,Aline Muller/Kelly van Buiten,,16630,,
Women's Doubles,91,Apriyani Rahayu/Siti Fadia Silva Ramadhanti,,16300,,
Women's Doubles,92,Kodchaporn Chaichana/Pannawee Polyiam,,16050,,
Women's Doubles,93,Vaishnavi Khadkekar/Alisha Khan,,15804,,
Women's Doubles,94,Bao Lijing/Luo Xumin,,15750,,
Women's Doubles,95,Fiona Hallberg/Elin Ohling,,15747,,
Women's Doubles,96,Aung Nicky Yemin/Sirapat Tepnarong,,15350,,
Women's Doubles,97,Anastasiia Boiarun/Daria Kharlampovich,,15210,,
Women's Doubles,98,Amy Ackerman/Johanita Scholtz,,15201,,
Women's Doubles,99,Pham Thi Dieu Ly/Pham Thi Khanh,,15160,,
Women's Doubles,100,Audrey Chang/Jasmine Yeung,,15080,,
Women's Doubles,101,Lin Chih-chun/Lin Wan-ching,,14970,,
Women's Doubles,102,Lee Chih Chen/Lin Yen Yu,,14940,,
Women's Doubles,103,Cheng Chih-Yun/Hsieh Yi Tsen,,14740,,
Women's Doubles,104,Benyapa Aimsaard/Nuntakarn Aimsaard,,14700,,
Women's Doubles,105,Aditi Bhatt/Shravani Walekar,,14660,,
Women's Doubles,106,Li Yijing/Wang Yiduo,,14620,,
Women's Doubles,107,Nishu Malik/Muskan Sangwan,,14600,,
Women's Doubles,108,Chen Hsuan Ni/Hsieh Mi Yen,,14550,,
Women's Doubles,109,Tidapron Kleebyeesun/Nattamon Laisuan,,14430,,
Women's Doubles,110,Lee Seo Jin/Lee Yeon Woo,,14268,,
Women's Doubles,111,Naomi Junco Vasquez/Namie Miyahira Tsukazan,,14202,,
Women's Doubles,112,Mao Hatasue/Kanano Muroya,,13790,,
Women's Doubles,113,Chia En Chung/Wang You Zhu,,13610,,
Women's Doubles,114,Gronya Somerville/Josephine Wu,,13410,,
Women's Doubles,115,Jazmine Lam/Lim Yee-Yuan,,13230,,
Women's Doubles,116,Benyapa Aimsaard/Sabrina Sophita Wedler,,13170,,
Women's Doubles,117,China,,12800,,
Women's Doubles,118,Emmy Guilbard/Anouk Nambot,,12760,,
Women's Doubles,119,Taabia Khan/Mysha Omer Khan,,12630,,
Women's Doubles,120,Nour Ahmed Youssri/Doha Hany,,12294,,
Women's Doubles,121,Lanny Tria Mayasari/Siti Fadia Silva Ramadhanti,,12050,,
Women's Doubles,122,Han Chen/Hsu Jui-Yi,,12030,,
Women's Doubles,123,Bao Lijing/Zhang Shuxian,,12020,,
Women's Doubles,124,Anna-sofie Nielsen/Sofie Rojkjaer,,12010,,
Women's Doubles,125,Nairoby Abigail Jimenez/Clarisa Pie,,12010,,
Women's Doubles,126,Chinese Taipei,,11970,,
Women's Doubles,127,Srinidhi Narayanan/Reshika Uthayasooriyan,,11760,,
Women's Doubles,128,Abbygael Harris/Estelle Van Leeuwen,,11745,,
Women's Doubles,129,Rashmi Ganesh/Sania Sikkandar,,11710,,
Women's Doubles,130,Raiia Almalalha/Sofiia Lavrova,,11596,,
Women's Doubles,131,Liao L X / Shen S Y,,11460,,
