category,rank,name,country,points,movement,profile
Men's Doubles,29,Muhammad Rian Ardianto/Rahmat Hidayat,,41949,,
Men's Doubles,30,Hu Keyuan/Lin Xiangyi,,41673,,
Men's Doubles,31,Ali Faathir Rayhan/Devin Artha Wahyudi,,40720,,
Men's Doubles,32,Huang Di/Liu Yang,,39780,,
Men's Doubles,33,Malaysia,,39750,,
Men's Doubles,34,Takumi Nomura/Yuichi Shimogami,,38571,,
Men's Doubles,35,Chen Zhi Ray/Lin Yu Chieh,,38536,,
Men's Doubles,36,Christian Faust Kjaer/Rasmus Kjaer,,38074,,
Men's Doubles,37,Choong Hon Jian/Muhammad Haikal,,37312,,
Men's Doubles,38,Peeratchai Sukphun/Pakkapon Teeraratsakul,,34766,,
Men's Doubles,39,He Zhi-Wei/Huang Jui-Hsuan,,34350,,
Men's Doubles,40,Kevin Lee/Ty Alexander Lindeman,,33808,,
Men's Doubles,41,Chia Weijie/Lwi Sheng Hao,,33690,,
Men's Doubles,42,Scotland,,33540,,
Men's Doubles,43,Eng Keat Wesley Koh/Junsuke Kubo,,33462,,
Men's Doubles,44,Jiri Kral/Ondrej Kral,,32663,,
Men's Doubles,45,Eloi Adam/Leo Rossi,,32014,,
Men's Doubles,46,Choi Sol-gyu/Goh V Shem,,31260,,
Men's Doubles,47,Julien Maio/William Villeger,,30973,,
Men's Doubles,48,Charoenkitamorn Chaloempon/Worrapol Thongsa-Nga,,29501,,
Men's Doubles,49,Pruthvi Krishnamurthy Roy/Sai Pratheek K,,29225,,
Men's Doubles,50,Oliver Butler/Samuel Jones,,29089,,
Men's Doubles,51,Rodion Alimov/Maksim Ogloblin,,29040,,
Men's Doubles,52,Donovan Willard Wee/Wong Jia Hao Howin,,28600,,
Men's Doubles,53,Alex Green/Zach Russ,,28334,,
Men's Doubles,54,Bjarne Geiss/Jones Ralfy Jansen,,28138,,
Men's Doubles,55,Lai Po Yu/Tsai Fu Cheng,,27750,,
Men's Doubles,56,Hung Kuei Chun/Lui Chun Wai,,27715,,
Men's Doubles,57,Pharanyu Kaosamaang/Tanadon Punpanich,,27146,,
